"ratings","claimant","claim"
"0.34"," Mike Pence","We could put cybersecurity first if we just make sure the next secretary of state doesn't have a private server."
"0.34"," Mike Pence","We have got to do a better job recognizing and correcting the errors in the system that do reflect on institutional bias in criminal justice."
"0.34"," Mike Pence","I worked when I was Congress on a second chance act."
"0.34"," Tim Kaine","He doesn't want to acknowledge that we stopped the Iranian nuclear weapons program."
"0.34"," Tim Kaine","You build the bonds between the community and the police force, build bonds of understanding, and then when people feel comfortable in their communities, that gap between the police and the communities they serve narrows."
"0.34"," Mike Pence","I mean, I'm very proud of the fact that -- I come from a state that works."
"0.34"," Tim Kaine","And in all six cases, he's refused to defend his running mate."
"0.34"," Mike Pence","We are back at war in Iraq."
"0.34"," Mike Pence","The only issue on taxes -- Hillary Clinton is going to raise taxes, and Donald Trump and I are going to cut them."
"0.34"," Tim Kaine","Now, this could be solved if Donald Trump would be willing to release his tax returns, as he told the American public that he would do."
"0.34"," Mike Pence","You know, I served in Washington, D.C., for 12 years in the Congress of the United States."
"0.34"," Tim Kaine","\""Go ahead, folks, enjoy yourselves.\"""
"0.34"," Mike Pence","Donald Trump knew that happened."
"0.34"," Mike Pence","Well, first and foremost, Donald Trump supports our troops."
"0.34"," Mike Pence","There are millions more people living in poverty today than the day that Barack Obama with Hillary Clinton at his side..."
"0.34"," Tim Kaine","And Hillary also has the ability to stand up to Russia in a way that this ticket does not."
"0.34"," Mike Pence","And the men and women, white, African-American, Asian, Latino, Hispanic, they put their lives on the line every single day."
"0.34"," Mike Pence","But what -- what -- what Donald Trump and I are saying is let's not have the reflex of assuming the worst of men and women in law enforcement."
"0.33"," Mike Pence","I served on the Foreign Affairs Committee for a decade."
"0.33"," Mike Pence","But like virtually every other business, including the New York Times not too long ago, he used what's called net operating loss."
"0.33"," Tim Kaine","And all investigation concluded that not one reasonable prosecutor would take any additional step."
"0.33"," Tim Kaine","Hillary and I want a bipartisan reform that will put keeping families together as the top goal, second, that will help focus enforcement efforts on those who are violent, third, that will do more border control, and, fourth, that will provide a path to citizenship for those who work hard, pay taxes, play by the rules, and take criminal background record checks."
"0.33"," Mike Pence","Hillary Clinton's top priority when she became secretary of state was the Russian reset, the Russians reset."
"0.33"," Mike Pence","Law enforcement in this country is a force for good."
"0.33"," Tim Kaine","Donald Trump during his campaign has called Mexicans rapists and criminals."
"0.33"," Mike Pence","And with Donald Trump -- Donald Trump's sons say that they have all these business dealings with Russia."
"0.33"," Mike Pence","Police officers are the best of us."
"0.33"," Mike Pence","He says ours is an insult-driven campaign."
"0.33"," Tim Kaine","And a Republican FBI director did an investigation and concluded that..."
"0.33"," Mike Pence","I'm also very pleased at the fact we're well on our way in Indiana to becoming the most pro-adoption state in America."
"0.32"," Tim Kaine","Third, he loves dictators."
"0.32"," Mike Pence","Eliminate the Iranian nuclear weapons program?"
"0.32"," Mike Pence","And all the while, all we do is fold our arms and say we're not having talks anymore."
"0.32"," Mike Pence","You didn't stop the nuclear weapons program."
"0.32"," Mike Pence","And I dreamed some day of representing my home town in Washington, D.C., but I -- honestly, Elaine, I never imagined -- never imagined I'd have the opportunity to be governor of the state that I love, let alone be sitting at a table like this in this kind of a position."
"0.32"," Mike Pence","I mean, Donald Trump has called for extreme vetting for people coming into this country so that we don't bring people into the United States who are hostile to our Bill of Rights freedoms, who are hostile to the American way life."
"0.32"," Mike Pence","And Donald Trump has laid out a priority to remove criminal aliens, remove people that have overstayed their visas."
"0.32"," Mike Pence","We have got to bring together the best resources of this country to understand that cyber warfare is the new warfare of the asymmetrical enemies that we face in this country."
"0.32"," Mike Pence","He's brought an extraordinary business acumen."
"0.32"," Mike Pence","They are the -- they truly are people that put their lives on the line every single day."
"0.32"," Tim Kaine","Second, he stood on the stage..."
"0.32"," Mike Pence","We're going to strengthen Immigrations and Customs Enforcements with more resources and more personnel to be able to do that."
"0.32"," Mike Pence","We didn't."
"0.32"," Mike Pence","He fought hard through some of the most difficult days in Operation Iraqi Freedom, and he paid the ultimate sacrifice to defend our freedom and secure that nation."
"0.32"," Tim Kaine","But he said he would release his tax returns."
"0.32"," Mike Pence","Donald Trump has said we're going to move those people out, people who've overstayed their visas."
"0.32"," Tim Kaine","She was there at the World Trade Center when they were still searching for victims and survivors."
"0.32"," Mike Pence","We've weakened America's place in the world."
"0.32"," Mike Pence","We ought to assure the public that we'll have a full and complete and transparent investigation whenever there's a loss of life because of police action."
"0.32"," Mike Pence","And Donald Trump's entire career has been about building."
"0.32"," Tim Kaine","Second, we've got to disrupt financing networks, third, disrupt their ability to recruit on the Internet, in their safe havens."
"0.32"," Tim Kaine","You did ask this question about debt, and the debt explosion on the Trump plan is much, much bigger than anything on the Clinton side."
"0.32"," Mike Pence","Look, America is stronger than Russia."
"0.32"," Tim Kaine","She said the test of a Clinton administration will not be the signing of a bill or the passage of a bill."
"0.32"," Mike Pence","They have not renounced their nuclear ambitions."
"0.32"," Tim Kaine","But it's not the giveaway tax relief to the folks at the top."
"0.32"," Mike Pence","He was my hero when I was growing up."
"0.32"," Mike Pence","The -- the safe zones would have to be -- as the senator said, there's already a framework for this that's been recognized by the international community."
"0.32"," Tim Kaine","She got them engaged on a meaningful way to cap Iran's nuclear weapons program."
"0.32"," Tim Kaine","Hillary Clinton has that passion."
"0.32"," Mike Pence","My mom and dad built a -- everything that matters in a small town in Southern Indiana."
"0.31"," Mike Pence","And he did it brilliantly."
"0.31"," Mike Pence","He actually built a business."
"0.31"," Tim Kaine","Before Roe v. Wade, states could pass criminal laws to do just that, to punish women if they made the choice to terminate a pregnancy."
"0.31"," Tim Kaine","He wouldn't support troops."
"0.31"," Tim Kaine","China's another one of those relationships where it's competitive, it's also challenging, and in times like North Korea, we have to be able to cooperate."
"0.31"," Tim Kaine","... and Saddam Hussein."
"0.31"," Tim Kaine","He wants to tear up alliances."
"0.31"," Mike Pence","Senator, that was even beneath you and Hillary Clinton."
"0.31"," Tim Kaine","Some things, you know, maybe weren't said so great about the Irish when they came, but we've done well by absorbing immigrants, and it's made our nation stronger."
"0.31"," Tim Kaine","So it involves increasing our own workforce, but striking great partnerships with some of our cyber and intel experts in the private sector so that we can, consistent with constitutional principles, gather more intelligence."
"0.31"," Tim Kaine","Did Donald Trump apologize for taking after somebody in a Twitter war and making fun of her weight?"
"0.31"," Mike Pence","... guaranteed that Iran will someday become a nuclear power, because there's no limitations once the period of time of the treaty comes off."
"0.31"," Tim Kaine","And we have some young people in the audience who weren't even born when Roe was decided."
"0.31"," Tim Kaine","And then Hillary used them to get a deal."
"0.31"," Tim Kaine","Hillary and I each grew up in small-business families."
"0.30"," Tim Kaine","First thing we do is we invest in manufacturing, infrastructure, and research in the clean energy jobs of tomorrow."
"0.30"," Mike Pence","Donald Trump's laid out a plan to end illegal immigration once and for all in this country."
"0.30"," Tim Kaine","And the poverty level and the median income..."
"0.30"," Tim Kaine","Because the FBI did an investigation."
"0.30"," Mike Pence","Senator, do you take all the deductions that you're entitled to?"
"0.30"," Tim Kaine","But I don't believe in this nation, a First Amendment nation, where we don't raise any religion over the other, and we allow people to worship as they please, that the doctrines of any one religion should be mandated for everyone."
"0.30"," Tim Kaine","And I'm really amazed, Elaine, as I talk to Republican senators, how well they regard and respect Hillary Clinton."
"0.30"," Tim Kaine","Governor Pence had to give Donald Trump his tax returns to show he was qualified to be vice president."
"0.30"," Tim Kaine","He doesn't have a plan."
"0.30"," Mike Pence","When Donald Trump becomes president of the United States, the Russians and other countries in the world will know they're dealing with a strong American president."
"0.30"," Tim Kaine","And he was killed for no apparent reason in an incident that will be discussed and will be investigated."
"0.30"," Mike Pence","I mean, the reality is, when she was secretary of state, Senator, come on."
"0.30"," Tim Kaine","And when that gap narrows, it's safer for the communities and it's safer for the police."
"0.30"," Mike Pence","Well, he said NATO is obsolete."
"0.30"," Tim Kaine","The Trump organization is an octopus-like organization with tentacles all over the world whose conflict of interests could only be known if Donald Trump would release his tax returns."
"0.30"," Mike Pence","When Donald Trump says women should be punished or Mexicans are rapists and criminals..."
"0.30"," Tim Kaine","Then why did Donald Trump say that?"
"0.30"," Mike Pence","You boycotted the speech."
"0.30"," Tim Kaine","And that is the fundamental difference between a Clinton-Kaine ticket and a Trump- Pence ticket that wants to punish women who make that choice."
"0.30"," Mike Pence","Well, I have the deepest respect for Senator Scott, and he's a close friend."
"0.30"," Mike Pence","We just -- we just had a conversation about law enforcement."
"0.30"," Mike Pence","And to see the weak and feckless leadership that Hillary Clinton was the architect of and the foreign policy of the Obama administration..."
"0.29"," Mike Pence","These were Donald's -- hold on a second, Governor."
"0.29"," Tim Kaine","Intelligence surge is two-thirds, Elaine."
"0.29"," Mike Pence","My grandfather had immigrated to this country when he was about my son's age."
"0.29"," Mike Pence","They see his commitment to law and order."
"0.29"," Mike Pence","Well, he never said that, Senator."
"0.29"," Tim Kaine","It is about our troops."
"0.29"," Tim Kaine","It is about our troops."
"0.29"," Tim Kaine","He persecutes LGBT folks and journalists."
"0.29"," Tim Kaine","He was on a TV show a couple months back, and he said, \""I'll guarantee you this, Russia's not going into the Ukraine.\"""
"0.29"," Tim Kaine","Donald Trump is avoiding paying taxes."
"0.29"," Tim Kaine","Why doesn't Donald Trump trust women to make this choice for themselves?"
"0.29"," Mike Pence","... about drone strikes, e-mails from the president of the United States of America were on there."
"0.29"," Mike Pence","No, he hasn't said that."
"0.29"," Mike Pence","We're going to enforce the law of this country."
"0.29"," Mike Pence","But I will also tell you that it's important in this moment to remember that Hillary Clinton had a private server in her home that had classified information on it..."
"0.29"," Mike Pence","We've got to work with Congress, and Donald Trump will, to rebuild our military and project American strength in the world."
"0.29"," Mike Pence","I was also raised in a wonderful family of faith."
"0.29"," Mike Pence","What we're dealing with is the -- you know, there's an old proverb that says the Russian bear never dies, it just hibernates."
"0.29"," Mike Pence","... reform government programs so we can meet the obligations of Social Security and Medicare."
"0.29"," Mike Pence","But for me, I would tell you that for me the sanctity of life proceeds out of the belief that -- that ancient principle that -- where God says before you were formed in the womb, I knew you, and so for my first time in public life, I sought to stand with great compassion for the sanctity of life."
"0.29"," Tim Kaine","This is the difference between a foundation that does good work and a secretary of state who acted in accordance with American interest and somebody who is conflicted and doing work around the world and won't share with the American public what he's doing and what those conflicts are."
"0.29"," Mike Pence","Donald Trump and I are going to make sure that law enforcement have the resources and the tools to be able to really restore law and order to the cities and communities in this nation."
"0.29"," Mike Pence","We have an intelligence, sir ."
"0.29"," Tim Kaine","We can support the Second Amendment and do things like background record checks and make us safer, and that will make police safer, too."
"0.29"," Mike Pence","It was a failure of the secretary of state..."
"0.29"," Tim Kaine","Donald Trump and Mike Pence have said he's a great leader."
"0.29"," Mike Pence","Well, I think Donald Trump laid out a series of priorities that doesn't ends with border security."
"0.29"," Mike Pence","It's -- she said they were irredeemable, they were not American."
"0.29"," Tim Kaine","That's why Donald Trump's claim that he wants to -- that NATO is obsolete and that we need to get rid of NATO is so dangerous."
"0.29"," Tim Kaine","Saudi Arabia, South Korea, Japan."
"0.29"," Tim Kaine","They made an illegal contribution, and then they tried to hide it by disguising it to somebody else."
"0.28"," Tim Kaine","He's said Saudi Arabia should get them, Japan should get them, Korea should get them."
"0.28"," Tim Kaine","And we'll look for strategies like adjusting the payroll tax cap upward in order to do that."
"0.28"," Tim Kaine","That's incorrect."
"0.28"," Tim Kaine","Sorry."
"0.28"," Mike Pence","But, Senator, please, you know, enough of this seeking every opportunity to demean law enforcement broadly by making the accusation of implicit bias every time tragedy occurs."
"0.28"," Tim Kaine","But the last thing, the very last thing that government should do is have laws that would punish women who make reproductive choices."
"0.28"," Mike Pence","... the reason the American people don't trust Hillary Clinton is because they are looking at the pay to play politics that she operated with the Clinton Foundation through a private server..."
"0.28"," Tim Kaine","Six times tonight, I have said to Governor Pence I can't imagine how you can defend your running mate's position on one issue after the next."
"0.28"," Tim Kaine","The kids loved him."
"0.28"," Tim Kaine","Vladimir Putin has run his economy into the ground."
"0.28"," Tim Kaine","The military is a disaster, John McCain's no hero, the generals need all to be fired, and I know more than them."
"0.28"," Mike Pence","And -- and once we have accomplished all of that, which will -- which will strengthen our economy, strengthen the rule of law in the country and make our communities safer once the criminal aliens are out, then we'll deal with those that remain."
"0.28"," Tim Kaine","When a guy running for president will not support the troops, not support veterans, not support teachers, that's really important."
"0.28"," Mike Pence","And after we secure the border, not only build a wall, but beneath the ground and in the air, we do internal enforcement."
"0.28"," Tim Kaine","And I was elected, and I did."
"0.28"," Tim Kaine","From the fullness of the heart, the mouth speaks."
"0.28"," Tim Kaine","These guys -- and Donald Trump have said it -- deportation force."
"0.28"," Tim Kaine","And yet he is asking everybody to vote for somebody that he cannot defend."
"0.28"," Mike Pence","ISIS is headquartered in Raqqa."
"0.28"," Tim Kaine","I was a city councilman and mayor in Richmond."
"0.28"," Tim Kaine","You are Donald Trump's apprentice."
"0.28"," Mike Pence","And then, of course, Syria, I mean, it really is extraordinary that -- Syria is imploding."
"0.28"," Tim Kaine","I'm a strong Second Amendment supporter."
"0.28"," Tim Kaine","But why don't you trust women?"
"0.28"," Tim Kaine","But let's compare this now with the Trump organization and the Trump Foundation."
"0.28"," Tim Kaine","No, he said leader."
"0.28"," Tim Kaine","It also means creating stronger alliances, because you gather intelligence and then you share your intelligence back and forth with allies."
"0.28"," Tim Kaine","You've got to have the ability to do that, and Hillary does."
"0.28"," Mike Pence","It's absolutely true."
"0.28"," Mike Pence","And we also need -- we also need an effective American diplomacy that will marshal the resources of nations in the Asian Pacific Rim to put pressure on North Korea, on Kim Jong-un, to abandon his nuclear ambitions."
"0.28"," Mike Pence","You just asked a very thoughtful question about the disaster in Aleppo."
"0.28"," Mike Pence","He's talking about criminal aliens."
"0.28"," Mike Pence","And I think that's who Governor Pence's running mate is, exactly who Governor Reagan warned us about."
"0.28"," Mike Pence","And come on."
"0.28"," Tim Kaine","Hillary Clinton went to Washington to get funds to rebuild her city and protect first responders, but Donald Trump was fighting a very different fight."
"0.28"," Mike Pence","You use that a whole lot."
"0.28"," Tim Kaine","And finally he said, \""I'm going to fire all the generals.\"""
"0.28"," Tim Kaine","But there are other parts of the world that are challenging."
"0.28"," Tim Kaine","He's broken his first..."
"0.28"," Tim Kaine","By trashing all Syrians or trashing all Muslims?"
"0.28"," Mike Pence","And I served with many Republicans and Democrats, men and women of goodwill."
"0.28"," Mike Pence","You tried to raise taxes here in Virginia and were unsuccessful."
"0.28"," Mike Pence","That's small potatoes compared to Hillary Clinton..."
"0.27"," Tim Kaine","The Clinton foundation does an awful lot of good work."
"0.27"," Mike Pence","... stepped into the Oval Office."
"0.27"," Mike Pence","We're going to put the safety and security of the American people first."
"0.27"," Tim Kaine","Hillary and I have a plan that's on the table that's a \""you're hired\"" plan."
"0.27"," Tim Kaine","Donald Trump doesn't have a plan."
"0.27"," Mike Pence","And then Donald Trump has made it clear, once we've done all of those things, that we're going to reform the immigration system that we have..."
"0.27"," Tim Kaine","Donald Trump always puts himself first."
"0.27"," Tim Kaine","Elaine -- Elaine, people shouldn't be afraid to bring up issues of bias in law enforcement."
"0.27"," Tim Kaine","I visited him in his office."
"0.27"," Tim Kaine","It's smart not to pay for teachers?"
"0.27"," Tim Kaine","Donald Trump wrote a book and he said Social Security is a Ponzi scheme and privatization would be good for all of us."
"0.27"," Tim Kaine","Syria."
"0.27"," Mike Pence","He said he's..."
"0.27"," Tim Kaine","Governor, why don't you trust women to make this choice for themselves?"
"0.27"," Tim Kaine","But the second piece of this is really, really important."
"0.27"," Tim Kaine","Because his tax plan basically helps him."
"0.27"," Mike Pence","And that -- that's pretty low."
"0.27"," Tim Kaine","And if he ever met his promise and he gave his tax returns to the American public like he said he would, we would see just how much his economic plan is really a Trump-first plan."
"0.27"," Mike Pence","Come on."
"0.27"," Tim Kaine","He's broken his first promise."
"0.27"," Tim Kaine","It's a \""you're fired\"" plan."
"0.27"," Mike Pence","And I want to give this president credit for bringing Osama bin Laden to justice."
"0.27"," Mike Pence","But here -- Hillary Clinton and her husband set up a private foundation called the Clinton Foundation."
"0.27"," Mike Pence","We're going to rebuild our military."
"0.27"," Mike Pence","It's amnesty."
"0.27"," Tim Kaine","He had survived the Holocaust."
"0.27"," Mike Pence","I know you boycotted Prime Minister Netanyahu's speech when he came before the Congress."
"0.27"," Mike Pence","We're in the..."
"0.27"," Tim Kaine","The Trump campaign management team had to be fired a month or so ago because of those shadowy connections with pro-Putin forces."
"0.27"," Tim Kaine","And we don't think that women should be punished, as Donald Trump said they should, for making the decision to have an abortion."
"0.27"," Mike Pence","He said the problem with nuclear proliferation is that some fool or maniac could trigger a catastrophic event."
"0.27"," Tim Kaine","He said, quote, \""They will all be gone.\"""
"0.27"," Tim Kaine","You both have said..."
"0.27"," Mike Pence","That's not an endorsement of Vladimir Putin."
"0.27"," Mike Pence","And Scott Zubowski, whose mom would always come to Memorial Day events in Newcastle, Indiana, to see me, and I'd give her a hug and tell her we're never going to forget her son and we never will, Scott Zubowski and the sacrifices the American soldier made were squandered in Iraq because this administration created a vacuum in which ISIS was able to grow."
"0.27"," Tim Kaine","And if we do, we won't have the tragedies that we did."
"0.27"," Tim Kaine","Donald Trump can't start a Twitter war with Miss Universe without shooting himself in the foot."
"0.27"," Tim Kaine","Donald Trump recently said we need to do more stop-and-frisk around the country."
"0.27"," Tim Kaine","She made history by protesting school segregation."
"0.27"," Tim Kaine","But -- but you have a voting record, Governor."
"0.27"," Tim Kaine","And last and most dangerously, Donald Trump believes -- Donald Trump believes that the world will be safer if more nations have nuclear weapons."
"0.27"," Tim Kaine","We're having fun up here."
"0.27"," Mike Pence","I'm not afraid to bring that up."
"0.27"," Tim Kaine","No, that is incorrect."
"0.27"," Mike Pence","... on the day that Iran released four American hostages..."
"0.26"," Mike Pence","The newly emboldened -- the aggression of Russia, whether it was in Ukraine or now they're heavy-handed approach..."
"0.26"," Mike Pence","Absolutely true."
"0.26"," Tim Kaine","You've been a lieutenant governor and governor and now a U.S. senator."
"0.26"," Tim Kaine","Donald Trump's son says that the Trump organization..."
"0.26"," Mike Pence","And they raised a family."
"0.26"," Mike Pence","It's been about -- it's going through hardship just like a businessperson does and finding a way through smarts and ingenuity and resilience to fight forward and -- when Donald Trump becomes president of the United States, we're going to have a stronger America."
"0.26"," Tim Kaine","In addition, Donald Trump has a foundation."
"0.26"," Tim Kaine","And, you know, Elaine, I have the same track record."
"0.26"," Tim Kaine","These guys have praised Vladimir Putin as a great leader."
"0.26"," Tim Kaine","Third, we promote fairness by raising the minimum wage, so you can't work full-time and be under the poverty level, and by paying women equal pay for equal work."
"0.26"," Mike Pence","They give virtually every cent in the Trump Foundation to charitable causes."
"0.26"," Mike Pence","It's not more spending..."
"0.26"," Mike Pence","Most of what you said is completely false, and the American people know that."
"0.26"," Tim Kaine","He absolutely said it."
"0.26"," Mike Pence","And he's going -- Senator, he's going to release his tax returns when the audit is over..."
"0.26"," Tim Kaine","And it's clear that he has business dealings with Russian oligarchs who are very connected to Putin."
"0.26"," Mike Pence","Her private server was subject to being hacked by foreign..."
"0.26"," Tim Kaine","That's shared."
"0.26"," Tim Kaine","But she's also worked on a lot of diplomatic and important diplomatic deals with China."
"0.26"," Tim Kaine","Remember, Hillary Clinton was the senator from New York on 9/11."
"0.26"," Mike Pence","And for all the world, Hillary Clinton just thinks Obamacare is a good start."
"0.26"," Mike Pence","It's been a combination of factors, but mostly it's been a lack of leadership."
"0.26"," Mike Pence","My heart breaks for the likes of Lance Cpl."
"0.26"," Tim Kaine","He's got kind of a personal Mount Rushmore, Vladimir Putin, Kim Jong-un, Moammar Gadhafi..."
"0.26"," Mike Pence","Ours is an insult-driven campaign?"
"0.26"," Tim Kaine","That's something we trust American women to do that."
"0.26"," Tim Kaine","So it's smart not to pay for our military?"
"0.26"," Mike Pence","The Trump Foundation is non-profit."
"0.26"," Tim Kaine","He's refused to do it."
"0.26"," Mike Pence","And we're saddened at the loss of life."
"0.26"," Tim Kaine","But then he was a visiting professor at Virginia Tech, and he couldn't survive the scourge of gun violence."
"0.26"," Tim Kaine","No, I visited him in his office."
"0.26"," Mike Pence","Donald Trump supports our veterans."
"0.26"," Mike Pence","The United States of America needs to be prepared to work with our allies in the region to create a route for safe passage and then to protect people in those areas, including with a no-fly zone."
"0.26"," Tim Kaine","Why did he say that?"
"0.26"," Tim Kaine","They want to go house to house, school to school, business to business, and kick out 16 million people."
"0.26"," Tim Kaine","Elaine, on the economy, there's a fundamental choice for the American electorate."
"0.26"," Mike Pence","You haven't seen his tax returns."
"0.26"," Mike Pence","Donald Trump and I are going to cut taxes."
"0.26"," Tim Kaine","If you want to have a society where people are respected and respect laws, you can't have somebody at the top who demeans every group that he talks about."
"0.26"," Tim Kaine","Business dealings."
"0.26"," Tim Kaine","The Trump plan is a different plan."
"0.25"," Tim Kaine","And interestingly enough, Elaine, the U.N. followed and did this -- virtually the same package."
"0.25"," Mike Pence","Oh, please."
"0.25"," Tim Kaine","He was a 70-plus-year-old Romanian Holocaust survivor."
"0.25"," Mike Pence","Because that had a lot of really creative lines in it."
"0.25"," Mike Pence","Look, to get to your question about trustworthiness, Donald Trump has built a business through hard times and through good times."
"0.25"," Mike Pence","They call it comprehensive immigration reform -- they call it comprehensive immigration reform on Capitol Hill."
"0.25"," Mike Pence","Elaine, the director of the FBI, our homeland security, said we can't know for certain who these people are coming from Syria."
"0.25"," Tim Kaine","We trust Hillary Clinton as president and commander-in-chief, but the thought of Donald Trump as commander-in-chief scares us to death."
"0.25"," Mike Pence","... and overrun vast areas of Iraq."
"0.25"," Mike Pence","And I think your running mate used a lot of pre-done lines."
"0.25"," Mike Pence","I mean, this economy is struggling."
"0.25"," Tim Kaine","We should focus upon danger, not upon discrimination."
"0.25"," Tim Kaine","She believed our nation was stronger together."
"0.25"," Tim Kaine","And remember, the Trump organization is not a non-profit."
"0.25"," Tim Kaine","It's smart not to pay for veterans?"
"0.25"," Tim Kaine","If Governor Pence wants to put more troops back in Iraq, that's..."
"0.25"," Mike Pence","And I've tried to live that out however imperfectly every day of my life since."
"0.25"," Mike Pence","She said she shouldn't have said half."
"0.25"," Tim Kaine","... we should not be able to bring up and talk about bias in the system, we'll never solve the problem..."
"0.25"," Tim Kaine","But I looked the voters of Virginia in the eye and said, look, this is my religion."
"0.25"," Mike Pence","That's it."
"0.25"," Tim Kaine","We support the constitutional right of American women to consult their own conscience, their own supportive partner, their own minister, but then make their own decision about pregnancy."
"0.25"," Tim Kaine","Governor Pence wants to repeal Roe v. Wade."
"0.25"," Mike Pence","We need criminal justice reform."
"0.25"," Tim Kaine","It happened at a time when you would work your whole life, your whole life, raising your kids, working, being a Little League coach or a Sunday school teacher, and then you would retire into poverty."
"0.25"," Mike Pence","And if I'm vice president of the United States or Donald Trump is president, we're going to put the safety and security of the American people first."
"0.25"," Mike Pence","We've seen an economy stifled by more taxes, more regulation, a war on coal, and a failing health care reform come to be known as Obamacare, and the American people know that we need to make a change."
"0.25"," Tim Kaine","And then he said, \""I'm going to call the generals to help me figure out a plan.\"""
"0.25"," Mike Pence","We're going to cut your taxes."
"0.25"," Mike Pence","They want to expand it into a single-payer program."
"0.25"," Tim Kaine","Do you want a \""you're hired\"" president in Hillary Clinton or do you want a \""you're fired\"" president in Donald Trump?"
"0.25"," Mike Pence","And with my wife at my side, we've followed a calling into public service, where we've -- we've tried to -- we've tried to keep faith with the values that we cherish."
"0.25"," Mike Pence","They want to see us supporting our military, rebuilding our military, commanding the respect of the world, and they want to see the American economy off to the races again."
"0.25"," Tim Kaine","He has, actually."
"0.25"," Tim Kaine","We will never, ever engage in a risky scheme to privatize Social Security."
"0.25"," Tim Kaine","And the person they donated to was somebody whose office was charged with investigating Trump University."
"0.25"," Mike Pence","Hillary Clinton is the secretary of state who knows how to build alliances."
"0.25"," Tim Kaine","Or instead of you violating the Constitution by blocking people based on their national origin rather than whether they're dangerous."
"0.25"," Tim Kaine","It was a fight to avoid paying taxes so that he wouldn't support the fight against terror."
"0.25"," Tim Kaine","Sixty-five years ago, a young, courageous woman, Barbara Johns, led a walkout of her high school, Moton High School."
"0.24"," Tim Kaine","I was educated by Jesuits at Rockhurst High School in Kansas City."
"0.24"," Tim Kaine","And then when I was governor of Virginia, we worked hard, too."
"0.24"," Mike Pence","I saw the clouds of smoke rise from the Pentagon."
"0.24"," Tim Kaine","I cannot believe that Governor Pence would sit here and defend his running mate's claim that we should create a deportation force to -- so that they'll all be gone."
"0.24"," Tim Kaine","Look for Donald trump apologizing to John McCain for saying he wasn't a hero..."
"0.24"," Tim Kaine","Donald Trump believes in deportation nation."
"0.24"," Tim Kaine","You asked the question about how do we deal with a North Korea."
"0.24"," Tim Kaine","Often China will use their veto in the Security Council to veto a package like that."
"0.24"," Mike Pence","That's the order that you should do it."
"0.24"," Mike Pence","It really is remarkable."
"0.24"," Mike Pence","We have a tax code, Senator, that actually is designed to encourage entrepreneurship in this country."
"0.24"," Mike Pence","If your son or my son handled classified information the way Hillary Clinton did..."
"0.24"," Mike Pence","And the United States of America needs to make investments in modernizing our nuclear force for both deterrence..."
"0.24"," Mike Pence","You know, my uncle was a cop, a career cop, on the beat in downtown Chicago."
"0.24"," Mike Pence","Hillary Clinton said her number-one priority was a reset with Russia."
"0.24"," Mike Pence","We just never would."
"0.24"," Mike Pence","That's not his plan."
"0.24"," Tim Kaine","Absolutely, without firing a shot."
"0.24"," Tim Kaine","And we did something we had really wanted to do."
"0.24"," Mike Pence","Americans need to worry about whether Donald Trump will be watching out for America's bottom line or his own bottom line."
"0.24"," Mike Pence","And we fully support that."
"0.24"," Tim Kaine","You've got to -- we do have to deal with Russia in a lot of different ways."
"0.24"," Tim Kaine","And that's a sharp contrast with Donald Trump."
"0.24"," Mike Pence","Donald Trump -- that's nonsense."
"0.24"," Tim Kaine","And they concluded that there was no reasonable prosecutor who would take it further."
"0.24"," Tim Kaine","He's not a leader."
"0.24"," Tim Kaine","The way you make communities safer and the way you make police safer is through community policing."
"0.24"," Tim Kaine","You guys love Russia."
"0.24"," Mike Pence","He knew that."
"0.24"," Mike Pence","The Trump Foundation is a private family foundation."
"0.24"," Mike Pence","That's nonsense."
"0.24"," Mike Pence","That's nonsense."
"0.24"," Mike Pence","If he wants to take these one at a time, I'll take them one at a time."
"0.24"," Mike Pence","And let my say, at the risk of agreeing with you, community policing is a great idea."
"0.24"," Tim Kaine","Go read -- go read the book."
"0.24"," Tim Kaine","If a nation where our troops are serving does not want us to stay, we're not going to stay without their protection."
"0.24"," Mike Pence","And so we removed -- we removed all of our..."
"0.24"," Mike Pence","And that's to bring a lifetime of experience, a lifetime growing up in a small town, a lifetime where I've served in the Congress of the United States, where -- where I've led a state that works in the great state of Indiana, and whatever other responsibilities might follow from this, I -- I would hope and, frankly, I would pray to be able to meet that moment with that -- that lifetime of experience."
"0.24"," Mike Pence","... their heavy-handed approach."
"0.24"," Tim Kaine","And Hillary Clinton has a track record of accomplishment across the aisle that will enable her to do just that when we work with the new Congress in January."
"0.24"," Tim Kaine","Hillary and I are both people out of religious backgrounds, from Methodist church experience, which was really formative for her as a public servant."
"0.24"," Tim Kaine","But we do have to bring the country together."
"0.24"," Mike Pence","America's political system is superior to the crony, corrupt capitalist system in Russia in every way."
"0.24"," Mike Pence","They cannot make financial contributions."
"0.23"," Tim Kaine","And she said to me, you've been a missionary and a civil rights lawyer."
"0.23"," Tim Kaine","We will work together in whatever roles we inhabit."
"0.23"," Mike Pence","First, Donald Trump just spoke about this issue this week."
"0.23"," Tim Kaine","Go read the book."
"0.23"," Mike Pence","I saw what the American soldier won in Operation Iraqi Freedom."
"0.23"," Mike Pence","And they're saying enough is enough."
"0.23"," Mike Pence","Look, this is the alternative universe of Washington, D.C., versus reality."
"0.23"," Tim Kaine","... put a program in place to keep them out if they're from Syria."
"0.23"," Mike Pence","The FBI and homeland security said we can't know for certain."
